Fingerprint Point,Axis,Nominal,Bunny_1,Bunny_2,Bunny_3,Bunny_4,d_Bunny_1,d_Bunny_2,d_Bunny_3,d_Bunny_4
 Point_hor_tail_2,Y,6.76,6.8,6.21,7.1,17.65,-0.04,0.55,-0.34,-10.89
 Point_hor_tail_2,X,26.32,26.26,27,26.26,-5.06,0.06,-0.68,0.06,31.38
 Point_hor_tail_1,Z,7,6.83,6.36,6.72,1.27,0.17,0.64,0.28,5.73
 Point_hor_tail_1,Y,9.35,9.36,9.4,9.66,17.69,-0.01,-0.05,-0.31,-8.34
 Point_hor_tail_1,X,26.27,26.23,26.27,26.13,-5.18,0.04,0,0.14,31.45
 Point_hor_leg_right_3,Z,7,6.8,6.61,6.77,7.84,0.2,0.39,0.23,-0.84
 Point_hor_leg_right_3,Y,15.13,15.01,15.03,15.11,17.98,0.12,0.1,0.02,-2.85
 Point_hor_leg_right_3,X,13.53,13.63,13.68,13.5,6.93,-0.1,-0.15,0.03,6.6
 Point_hor_leg_right_2,Z,7,6.82,6.65,6.81,6.42,0.18,0.35,0.19,0.58
 Point_hor_leg_right_2,Y,13.58,13.56,13.58,13.58,17.96,0.02,0,0,-4.38
 Point_hor_leg_right_2,X,12.75,12.82,12.81,12.7,7.87,-0.07,-0.06,0.05,4.88
 Point_hor_leg_right_1,Z,7,6.81,6.7,6.82,6.18,0.19,0.3,0.18,0.82
 Point_hor_leg_right_1,Y,13.24,13.17,13.16,13.23,17.97,0.07,0.08,0.01,-4.73
 Point_hor_leg_right_1,X,11.05,11.1,11.14,10.98,9.61,-0.05,-0.09,0.07,1.44
 Point_hor_leg_left_3,Z,7,6.81,6.53,6.7,-6.19,0.19,0.47,0.3,13.19
 Point_hor_leg_left_3,Y,0.91,0.97,1.1,1.17,17.67,-0.06,-0.19,-0.26,-16.76
 Point_hor_leg_left_3,X,14.59,14.74,14.89,14.83,6.83,-0.15,-0.3,-0.24,7.76
 Point_hor_leg_left_2,Z,7,6.84,0,0,0,0.16,7,7,7
 Point_hor_leg_left_2,Y,2.9,2.9,0,0,0,0,2.9,2.9,2.9
 Point_hor_leg_left_2,X,13.48,13.6,0,0,0,-0.12,13.48,13.48,13.48
 Point_hor_leg_left_1,Z,7,6.83,6.57,6.7,-4.03,0.17,0.43,0.3,11.03
 Point_hor_leg_left_1,Y,2.82,2.86,3.29,3.15,17.74,-0.04,-0.47,-0.33,-14.92
Point_hor_leg_left_1,X,11.62,11.72,11.77,11.77,9.75,-0.1,-0.15,-0.15,1.87
,,,,,,,,,,
