bunny_id,til_err_x,til_err_y,til_err_z,hor_err_x,hor_err_y,hor_err_z,ver_err_x,ver_err_y,ver_err_z,laser_power,laser_speed,hatch_space
bunny_1,0.661,0.374,0.816,0.714,0.37,0.4,0.639,0.388,0.378,30.0,4000.0,0.23
bunny_2,0.662,0.344,0.776,0.709,0.342,0.377,0.638,0.361,0.359,30.0,4000.0,0.26
bunny_3,0.662,0.356,0.743,0.704,0.347,0.364,0.636,0.366,0.344,30.0,4000.0,0.29
bunny_4,0.664,0.346,0.717,0.697,0.337,0.35,0.632,1.279,0.333,30.0,4000.0,0.32
bunny_5,0.656,0.35,0.7,0.686,0.338,0.343,0.623,0.359,0.326,30.0,4000.0,0.34
