Fingerprint location,Axis,Nominal,5000 (hori),4750 (hori),4500 (hori),4250 (hori),4000 (hori), 4000 (hori)
 Point_hor_leg_right_1,Z,7,6.63,6.62,6.61,6.61,6.6
 Point_hor_leg_right_1,Y,13.24,12.68,12.66,12.66,12.65,12.64
 Point_hor_leg_right_1,X,11.05,10.57,10.56,10.55,10.55,10.55
 Point_hor_leg_left_3,Z,7,6.61,6.59,6.58,6.57,6.56
 Point_hor_leg_left_3,Y,0.91,0.81,0.8,0.79,0.78,0.78
 Point_hor_leg_left_3,X,14.59,14,13.99,13.99,13.99,13.99
 Point_hor_leg_left_2,Z,7,6.57,6.55,6.54,6.53,6.51
 Point_hor_leg_left_2,Y,2.9,2.71,2.69,2.69,2.68,2.67
 Point_hor_leg_left_2,X,13.48,12.94,12.93,12.93,12.93,12.93
 Point_hor_leg_left_1,Z,7,6.62,6.6,6.6,6.59,6.58
 Point_hor_leg_left_1,Y,2.82,2.63,2.62,2.62,2.61,2.6
 Point_hor_leg_left_1,X,11.62,11.17,11.16,11.16,11.17,11.17
laser_power_(w),,None,30,30,30,30,30,30
laser_speed_(mm/s),,None,5000,4750,4500,4250,4000,4000
hatch_spacing_(mm),,None,0.33,0.33,0.33,0.33,0.33,0.33
