bunny_id,til_err_x,til_err_y,til_err_z,hor_err_x,hor_err_y,hor_err_z,ver_err_x,ver_err_y,ver_err_z,laser_power,laser_speed,hatch_space
bunny_1,0.662,0.344,0.776,0.709,0.342,0.377,0.638,0.361,0.359,30.0,5000.0,0.33
bunny_2,0.672,0.358,0.793,0.72,0.353,0.392,0.648,0.37,0.372,30.0,4750.0,0.33
bunny_3,0.674,0.354,0.811,0.724,0.356,0.398,0.652,0.371,0.378,30.0,4500.0,0.33
bunny_4,0.669,0.363,0.83,0.724,0.364,0.406,0.649,0.381,0.386,30.0,4250.0,0.33
bunny_5,0.666,0.372,0.85,0.727,0.372,0.416,0.649,0.392,0.392,30.0,4000.0,0.33
