Fingerprint location,Axis,Nominal,0.23 (hori),0.26 (hori),0.29 (hori),0.32 (hori),0.34 (hori),0.34 (hori)
 Point_hor_leg_right_1,Z,7,6.62,6.63,6.65,6.66,6.67
 Point_hor_leg_right_1,Y,13.24,12.65,12.68,12.67,12.69,12.69
 Point_hor_leg_right_1,X,11.05,10.56,10.57,10.57,10.58,10.59
 Point_hor_leg_left_3,Z,7,6.58,6.61,6.62,6.63,6.64
 Point_hor_leg_left_3,Y,0.91,0.78,0.81,0.8,0.81,0.81
 Point_hor_leg_left_3,X,14.59,14,14,14.01,14.01,14.02
 Point_hor_leg_left_2,Z,7,6.54,6.57,6.58,6.6,6.61
 Point_hor_leg_left_2,Y,2.9,2.68,2.71,2.7,2.72,2.72
 Point_hor_leg_left_2,X,13.48,12.94,12.94,12.94,12.95,12.96
 Point_hor_leg_left_1,Z,7,6.59,6.62,6.63,6.65,6.65
 Point_hor_leg_left_1,Y,2.82,2.61,2.63,2.63,2.64,2.64
 Point_hor_leg_left_1,X,11.62,11.17,11.17,11.17,11.17,11.18
laser_power_(w),,None,30,30,30,30,30,30
laser_speed_(mm/s),,None,4000,4000,4000,4000,4000,4000
hatch_spacing_(mm),,None,0.23,0.26,0.29,0.32,0.34,0.34
